	image_loc	label
0	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire004-equation047_0.bmp	f ( x ) = \sum _ { n = - \infty } ^ { \infty } a _ { n } = x ^ { \alpha _ { n } }
1	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire026-equation071_0.bmp	f ( x _ { 1 } ) \leq f ( x _ { 2 } )
2	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire030-equation000_0.bmp	1 5 4 + 1 3 \leq 1 6 7
3	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2656_0.bmp	\frac { 2 } { 4 }
4	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/200924-1331-237_0.bmp	i + F > j + x
5	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-139-61_0.bmp	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
6	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/KME2G3_25_sub_22_0.bmp	x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
7	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2212_0.bmp	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
8	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire019-equation006_0.bmp	x y ^ { 2 } + e y = a x ^ { 3 } + b x ^ { 2 } + c x + d
9	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire006-equation000_0.bmp	4 4 \pm ( 8 - 1 4 2 - 4 8 ) \times ( 1 9 5 / 1 0 9 )
10	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire032-equation021_0.bmp	n = 1 5 0 0
11	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire011-equation018_0.bmp	x = \sqrt { r ^ { 2 } + a ^ { 2 } } \sin \theta \cos \phi
12	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire020-equation056_0.bmp	\frac { 1 } { 1 - x } = \sum _ { i = 0 } ^ { n } x ^ { i } + \frac { x ^ { n + 1 } } { 1 - x }
13	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/formulaire008-equation011_0.bmp	\frac { x ^ { 2 } + y ^ { 2 } } { a ^ { 2 } } - \frac { z ^ { 2 } } { c ^ { 2 } } - 1 = 0
14	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/2009213-137-145_0.bmp	8
15	/home/mathadoor/Documents/ImageToLatex/data/CROHME/train/off_image_train/MfrDB2387_0.bmp	( a ) ^ { - 1 } - 1
